ext_gene	transcript	eSTR	log10p	STR_pheno
snpc-3.1	B0273.3.1	STR_80	11.1687905927034	STR length
snpc-3.1	B0273.3.1	STR_87	7.7046057079769	STR length
B0280.2	B0280.2.1	STR_9692	8.43056023889345	STR length
mnp-1	B0285.7.1	STR_22478	7.08704776342403	STR length
sra-33	B0304.6.1	STR_7356	7.51339426447081	STR length
cyp-29A4	B0331.1.1	STR_18305	8.22165696656092	STR length
wrm-1	B0336.1a.2	STR_13147	7.70431019629068	STR length
wrm-1	B0336.1a.2	STR_13348	8.42003117871552	STR length
B0344.1	B0344.1	STR_4395	6.94906640938578	STR length
B0344.1	B0344.1	STR_4628	7.01535412177093	STR length
B0344.1	B0344.1	STR_4689	8.91767020162164	STR length
B0391.10	B0391.10	STR_27385	12.2088588213305	STR length
B0391.10	B0391.10	STR_27396	16.4681710435548	STR length
B0391.10	B0391.10	STR_27424	13.192875482034	STR length
B0391.10	B0391.10	STR_27425	9.46473036219968	STR length
B0391.10	B0391.10	STR_27434	10.1171951407204	STR length
B0391.10	B0391.10	STR_27438	17.4355927654152	STR length
B0391.10	B0391.10	STR_27449	12.9628123998764	STR length
B0391.10	B0391.10	STR_27481	10.8925802604722	STR length
B0391.10	B0391.10	STR_27489	7.96768697055833	STR length
B0391.10	B0391.10	STR_27547	13.6634778690787	STR length
B0391.10	B0391.10	STR_27573	15.9722292679238	STR length
B0391.10	B0391.10	STR_27578	8.37359795706877	STR length
B0391.10	B0391.10	STR_27579	13.9472124308371	STR length
B0391.10	B0391.10	STR_27688	18.0498638263834	STR length
B0391.10	B0391.10	STR_27727	17.6829812333696	STR length
B0391.10	B0391.10	STR_27839	7.07817625299536	STR length
B0391.10	B0391.10	STR_27897	9.23374908126064	STR length
B0391.10	B0391.10	STR_27905	9.02821782075588	STR length
B0391.10	B0391.10	STR_27912	7.2760521093571	STR length
B0391.10	B0391.10	STR_27916	8.11247747577575	STR length
B0391.10	B0391.10	STR_27926	9.75429349642058	STR length
B0391.10	B0391.10	STR_27939	8.88796598929911	STR length
B0391.10	B0391.10	STR_27950	8.97903202331752	STR length
B0391.10	B0391.10	STR_27975	13.105073230465	STR length
B0391.10	B0391.10	STR_27980	7.14431052663326	STR length
B0391.10	B0391.10	STR_27993	8.58599579971294	STR length
B0391.10	B0391.10	STR_27994	9.35709508189807	STR length
B0391.10	B0391.10	STR_28039	11.1221504565546	STR length
B0391.10	B0391.10	STR_28195	8.60608425146703	STR length
B0391.10	B0391.10	STR_28197	7.89429643962197	STR length
B0391.10	B0391.10	STR_28201	6.97622389016632	STR length
B0391.10	B0391.10	STR_28238	6.97527874640844	STR length
B0391.10	B0391.10	STR_28247	10.7339466272882	STR length
B0391.10	B0391.10	STR_28253	6.86720590075171	STR length
B0391.10	B0391.10	STR_28274	7.45105221607523	STR length
B0391.10	B0391.10	STR_28294	7.94559332782024	STR length
B0391.10	B0391.10	STR_28404	8.14454341982566	STR length
B0391.10	B0391.10	STR_28462	7.30189927508672	STR length
B0391.10	B0391.10	STR_28468	7.0649787027544	STR length
B0393.5	B0393.5.1	STR_24917	7.47237850517538	STR length
B0416.4	B0416.4.1	STR_29168	11.0078808736591	STR length
B0416.4	B0416.4.1	STR_30026	8.76650261575232	STR length
B0416.4	B0416.4.1	STR_30196	7.06802029641507	STR length
B0416.4	B0416.4.1	STR_30311	8.21362399743479	STR length
fbxb-119	B0462.3.1	STR_27108	7.6595668436667	STR length
fbxb-119	B0462.3.1	STR_27129	8.62659730573707	STR length
fbxb-119	B0462.3.1	STR_27146	17.488212229104	STR length
fbxb-119	B0462.3.1	STR_27159	8.88886459705054	STR length
fbxb-119	B0462.3.1	STR_27183	11.7966229462369	STR length
fbxb-119	B0462.3.1	STR_7601	7.9025996772054	STR length
pgl-2	B0523.3.2	STR_12399	7.22059156656377	STR length
pgl-2	B0523.3.2	STR_12860	8.96059760591286	STR length
pgl-2	B0523.3.2	STR_13240	9.1148008613315	STR length
unc-30	B0564.10a.1	STR_28832	8.14522968791709	STR length
oxa-1	C01A2.3.2	STR_25031	7.52138184445403	STR length
oxa-1	C01A2.3.2	STR_25061	7.53786872097976	STR length
oxa-1	C01A2.3.2	STR_25066	7.36696996277696	STR length
oxa-1	C01A2.3.2	STR_3734	9.12421862456391	STR length
oxa-1	C01A2.3.2	STR_4093	9.02581921667926	STR length
oxa-1	C01A2.3.2	STR_4452	6.88417609480611	STR length
oxa-1	C01A2.3.2	STR_5585	7.27372688069552	STR length
C01G12.12	C01G12.12	STR_29396	9.19971142531883	STR length
C01G12.12	C01G12.12	STR_29622	10.9640896110977	STR length
C01G12.12	C01G12.12	STR_29761	11.5812221942386	STR length
C03B1.14	C03B1.14.2	STR_28594	7.57141957459117	STR length
C03B1.14	C03B1.14.2	STR_28835	8.29032810530278	STR length
C03B1.14	C03B1.14.2	STR_28843	21.5397490668806	STR length
C03B1.14	C03B1.14.2	STR_28854	15.603075779795	STR length
C03B1.14	C03B1.14.2	STR_28855	15.3795323142606	STR length
C03B1.14	C03B1.14.2	STR_28874	18.4333711827942	STR length
C03B1.14	C03B1.14.2	STR_28900	14.8621261671227	STR length
C03B1.14	C03B1.14.2	STR_28926	7.30972428984565	STR length
C03B1.14	C03B1.14.2	STR_28957	25.3573223306852	STR length
C03B1.14	C03B1.14.2	STR_28968	25.5648871057329	STR length
C03B1.14	C03B1.14.2	STR_29001	26.3183849599798	STR length
C03B1.14	C03B1.14.2	STR_29002	8.91317698567969	STR length
C03B1.14	C03B1.14.2	STR_29032	13.2342085113577	STR length
C03B1.14	C03B1.14.2	STR_29073	9.08176232738583	STR length
C03B1.14	C03B1.14.2	STR_29074	23.8283361536236	STR length
C03B1.14	C03B1.14.2	STR_29131	29.3777031106369	STR length
C03B1.14	C03B1.14.2	STR_29142	19.0428476679824	STR length
C03B1.14	C03B1.14.2	STR_29147	18.5694944171082	STR length
C03B1.14	C03B1.14.2	STR_29151	17.8852060108934	STR length
C03B1.14	C03B1.14.2	STR_29156	22.5453040991766	STR length
C03B1.14	C03B1.14.2	STR_29157	31.2743103097537	STR length
C03B1.14	C03B1.14.2	STR_29171	16.1478419868165	STR length
C03B1.14	C03B1.14.2	STR_29174	15.5521341112199	STR length
C03B1.14	C03B1.14.2	STR_29190	24.2592557613602	STR length
C03B1.14	C03B1.14.2	STR_29251	11.2147661517652	STR length
C03B1.14	C03B1.14.2	STR_29271	35.1775246978374	STR length
C03B1.14	C03B1.14.2	STR_29296	28.2942099226561	STR length
C03B1.14	C03B1.14.2	STR_29307	31.6056120995126	STR length
C03B1.14	C03B1.14.2	STR_29314	15.3073344217485	STR length
C03B1.14	C03B1.14.2	STR_29336	12.7118511417515	STR length
C03B1.14	C03B1.14.2	STR_29341	26.8616869110009	STR length
C03B1.14	C03B1.14.2	STR_29388	14.0292965165463	STR length
C03B1.14	C03B1.14.2	STR_29392	15.1260791513781	STR length
C03B1.14	C03B1.14.2	STR_29433	18.3478419051616	STR length
C03B1.14	C03B1.14.2	STR_29436	30.3247256085376	STR length
C03B1.14	C03B1.14.2	STR_29463	14.1406556484133	STR length
C03B1.14	C03B1.14.2	STR_29466	14.7576771793601	STR length
C03B1.14	C03B1.14.2	STR_29499	19.6003600940827	STR length
C03B1.14	C03B1.14.2	STR_29507	14.7184230481166	STR length
C03B1.14	C03B1.14.2	STR_29510	28.6377154982608	STR length
C03B1.14	C03B1.14.2	STR_29520	23.0671875405951	STR length
C03B1.14	C03B1.14.2	STR_29621	22.8546335442856	STR length
C03B1.14	C03B1.14.2	STR_29625	20.4281572969032	STR length
C03B1.14	C03B1.14.2	STR_29716	14.0480475174435	STR length
C03B1.14	C03B1.14.2	STR_29732	13.5952415112201	STR length
C03B1.14	C03B1.14.2	STR_29733	13.5273114496007	STR length
C03B1.14	C03B1.14.2	STR_29735	19.9701781451183	STR length
C03B1.14	C03B1.14.2	STR_29797	18.4555395156416	STR length
C03B1.14	C03B1.14.2	STR_29810	8.86616229057912	STR length
C03B1.14	C03B1.14.2	STR_29877	17.8666972326471	STR length
C03B1.14	C03B1.14.2	STR_29887	15.3278158090904	STR length
C03B1.14	C03B1.14.2	STR_29922	9.2188999384391	STR length
C03B1.14	C03B1.14.2	STR_29953	17.3460233121191	STR length
C03B1.14	C03B1.14.2	STR_29954	10.5260764915196	STR length
C03B1.14	C03B1.14.2	STR_29959	10.7935825664495	STR length
C03B1.14	C03B1.14.2	STR_30004	11.1440038615712	STR length
C03B1.14	C03B1.14.2	STR_30005	11.9962339616954	STR length
C03B1.14	C03B1.14.2	STR_30311	7.03183828026149	STR length
C03B1.14	C03B1.14.2	STR_30329	8.1729306421667	STR length
C03B1.14	C03B1.14.2	STR_30413	9.36262312953404	STR length
npp-14	C03D6.4.2	STR_29168	7.37012913749865	STR length
npp-14	C03D6.4.2	STR_30000	7.07981623653405	STR length
clec-223	C03E10.5.1	STR_10679	8.939558448568	STR length
clec-223	C03E10.5.1	STR_10724	7.43076574020695	STR length
nspc-3	C03G5.10.1	STR_29074	8.45025550858518	STR length
nspc-3	C03G5.10.1	STR_29109	11.420437214983	STR length
nspc-3	C03G5.10.1	STR_29124	8.65108768343747	STR length
nspc-3	C03G5.10.1	STR_29131	13.4947311858512	STR length
nspc-3	C03G5.10.1	STR_29142	7.03927429647359	STR length
nspc-3	C03G5.10.1	STR_29151	7.6922196351379	STR length
nspc-3	C03G5.10.1	STR_29157	7.37379033731781	STR length
nspc-3	C03G5.10.1	STR_29171	9.15334554521743	STR length
nspc-3	C03G5.10.1	STR_29178	9.09744076982054	STR length
nspc-3	C03G5.10.1	STR_29217	6.89221574602825	STR length
nspc-3	C03G5.10.1	STR_29218	8.75095945521676	STR length
nspc-3	C03G5.10.1	STR_29251	9.42731999090883	STR length
nspc-3	C03G5.10.1	STR_29271	8.22875982073358	STR length
nspc-3	C03G5.10.1	STR_29282	13.6368995335247	STR length
nspc-3	C03G5.10.1	STR_29296	7.82969869852577	STR length
nspc-3	C03G5.10.1	STR_29306	8.61227827842986	STR length
nspc-3	C03G5.10.1	STR_29307	19.2452175414684	STR length
nspc-3	C03G5.10.1	STR_29314	9.91829750388583	STR length
nspc-3	C03G5.10.1	STR_29323	9.70825653025979	STR length
nspc-3	C03G5.10.1	STR_29341	10.7604717932271	STR length
nspc-3	C03G5.10.1	STR_29351	11.221310397403	STR length
nspc-3	C03G5.10.1	STR_29352	7.49186910570181	STR length
nspc-3	C03G5.10.1	STR_29363	14.0937371453356	STR length
nspc-3	C03G5.10.1	STR_29396	8.84288498022846	STR length
nspc-3	C03G5.10.1	STR_29436	9.08476116183953	STR length
nspc-3	C03G5.10.1	STR_29499	7.64289777323569	STR length
nspc-3	C03G5.10.1	STR_29510	10.037356873257	STR length
nspc-3	C03G5.10.1	STR_29520	9.9916489438757	STR length
nspc-3	C03G5.10.1	STR_29538	10.3176420923824	STR length
nspc-3	C03G5.10.1	STR_29556	9.69702470037146	STR length
nspc-3	C03G5.10.1	STR_29608	12.1805921430456	STR length
nspc-3	C03G5.10.1	STR_29625	7.05181923030077	STR length
nspc-3	C03G5.10.1	STR_29645	8.09833299503016	STR length
nspc-5	C03G5.12.1	STR_29056	11.016553646442	STR length
nspc-5	C03G5.12.1	STR_29058	12.8345292086888	STR length
nspc-5	C03G5.12.1	STR_29093	7.15679462634782	STR length
nspc-5	C03G5.12.1	STR_29098	8.05232219582956	STR length
nspc-5	C03G5.12.1	STR_29131	7.5949377763155	STR length
nspc-5	C03G5.12.1	STR_29149	21.2805560417985	STR length
nspc-5	C03G5.12.1	STR_29151	17.0960181777438	STR length
nspc-5	C03G5.12.1	STR_29171	18.2771312398713	STR length
nspc-5	C03G5.12.1	STR_29188	9.21527385086184	STR length
nspc-5	C03G5.12.1	STR_29217	8.05759534135318	STR length
nspc-5	C03G5.12.1	STR_29218	8.01360139890613	STR length
nspc-5	C03G5.12.1	STR_29228	15.4376312489095	STR length
nspc-5	C03G5.12.1	STR_29251	14.1514646819095	STR length
nspc-5	C03G5.12.1	STR_29306	7.41051875430574	STR length
nspc-5	C03G5.12.1	STR_29307	12.587385457373	STR length
nspc-5	C03G5.12.1	STR_29309	19.2068372829606	STR length
nspc-5	C03G5.12.1	STR_29323	11.0023526519602	STR length
nspc-5	C03G5.12.1	STR_29341	11.5490893405856	STR length
nspc-5	C03G5.12.1	STR_29351	16.6149145765645	STR length
nspc-5	C03G5.12.1	STR_29352	7.08725241082762	STR length
nspc-5	C03G5.12.1	STR_29398	13.0027611207677	STR length
nspc-5	C03G5.12.1	STR_29406	15.5134475079126	STR length
nspc-5	C03G5.12.1	STR_29413	13.7581083496091	STR length
nspc-5	C03G5.12.1	STR_29449	15.4580276552726	STR length
nspc-5	C03G5.12.1	STR_29460	18.7582242559875	STR length
nspc-5	C03G5.12.1	STR_29464	10.0066833268729	STR length
nspc-5	C03G5.12.1	STR_29465	13.511258731182	STR length
nspc-5	C03G5.12.1	STR_29490	19.4212906397955	STR length
nspc-5	C03G5.12.1	STR_29520	14.4235069097768	STR length
nspc-5	C03G5.12.1	STR_29538	10.0180996072776	STR length
nspc-5	C03G5.12.1	STR_29556	13.3005639187241	STR length
nspc-5	C03G5.12.1	STR_29612	17.2773008603609	STR length
nspc-5	C03G5.12.1	STR_29637	11.9367551554861	STR length
nspc-5	C03G5.12.1	STR_29645	8.7818446674085	STR length
nspc-5	C03G5.12.1	STR_29651	11.9727974786881	STR length
nspc-5	C03G5.12.1	STR_29738	8.81372955863613	STR length
nspc-5	C03G5.12.1	STR_29793	10.1734301590863	STR length
nspc-5	C03G5.12.1	STR_29843	10.6852214883118	STR length
nspc-5	C03G5.12.1	STR_29850	9.87667392471863	STR length
nspc-5	C03G5.12.1	STR_29855	11.345402655606	STR length
nspc-5	C03G5.12.1	STR_29869	8.16848434126521	STR length
nspc-5	C03G5.12.1	STR_29947	10.9963531020424	STR length
nspc-5	C03G5.12.1	STR_29955	12.4811912615958	STR length
nspc-5	C03G5.12.1	STR_29972	10.8875969353173	STR length
nspc-5	C03G5.12.1	STR_29975	9.69252317501863	STR length
nspc-6	C03G5.13.1	STR_23050	8.7511439722587	STR length
nspc-6	C03G5.13.1	STR_23268	8.77771305757721	STR length
nspc-6	C03G5.13.1	STR_23282	7.68575065003983	STR length
nspc-6	C03G5.13.1	STR_23295	11.0119572688671	STR length
nspc-6	C03G5.13.1	STR_23308	7.66925556177701	STR length
nspc-6	C03G5.13.1	STR_23325	7.53897511955425	STR length
nspc-6	C03G5.13.1	STR_23380	9.26806465316835	STR length
nspc-6	C03G5.13.1	STR_23489	10.5201442057473	STR length
nspc-6	C03G5.13.1	STR_23507	8.19355248768617	STR length
nspc-6	C03G5.13.1	STR_23571	6.92141415131847	STR length
nspc-2	C03G5.9.1	STR_10204	7.31174360806866	STR length
nspc-2	C03G5.9.1	STR_22487	7.04230323335461	STR length
nspc-2	C03G5.9.1	STR_23050	7.83862824748905	STR length
nspc-2	C03G5.9.1	STR_23145	6.92759646296343	STR length
nspc-2	C03G5.9.1	STR_23268	7.91493600722321	STR length
nspc-2	C03G5.9.1	STR_23282	7.16104942712583	STR length
nspc-2	C03G5.9.1	STR_23295	11.5804613562118	STR length
nspc-2	C03G5.9.1	STR_23308	7.15057631212571	STR length
nspc-2	C03G5.9.1	STR_23325	6.96558715681516	STR length
nspc-2	C03G5.9.1	STR_23380	8.77921061450982	STR length
nspc-2	C03G5.9.1	STR_23401	7.36133700870352	STR length
nspc-2	C03G5.9.1	STR_23489	9.08734889679724	STR length
nspc-2	C03G5.9.1	STR_23507	7.73687120225092	STR length
nspc-2	C03G5.9.1	STR_23571	8.18800531593852	STR length
nspc-2	C03G5.9.1	STR_23867	8.20167585535763	STR length
nspc-2	C03G5.9.1	STR_24036	10.6781492045597	STR length
nspc-2	C03G5.9.1	STR_24042	9.87867762838105	STR length
nspc-2	C03G5.9.1	STR_24091	8.06569939114181	STR length
nspc-2	C03G5.9.1	STR_24097	13.3251259394855	STR length
nspc-2	C03G5.9.1	STR_24190	10.5003790460816	STR length
nspc-2	C03G5.9.1	STR_24200	8.04420395806257	STR length
nspc-2	C03G5.9.1	STR_24333	11.8739848254596	STR length
nspc-2	C03G5.9.1	STR_24349	15.7805271509717	STR length
nspc-2	C03G5.9.1	STR_24365	8.2998182260848	STR length
nspc-2	C03G5.9.1	STR_24386	7.47588668565398	STR length
nspc-2	C03G5.9.1	STR_24399	11.5817201744069	STR length
nspc-2	C03G5.9.1	STR_24405	10.9755424952474	STR length
