Hotspot	hotspot_Chr	Merged_hotspots_cM	merged_Hotspot_QTL_count	hotspot_cM_center	str_genotype	pSTR	n_med_STR	n_tx	n_hs_eSTR	p1	hotspotpos
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24788	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24803	5	80	73	3.28947368421053	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24910	4	80	73	2.63157894736842	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24912	7	80	73	4.60526315789474	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25456	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_26039	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24633	2	80	73	1.31578947368421	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24734	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24841	3	80	73	1.97368421052632	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24882	5	80	73	3.28947368421053	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24894	5	80	73	3.28947368421053	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24991	2	80	73	1.31578947368421	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24994	6	80	73	3.94736842105263	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25072	5	80	73	3.28947368421053	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25159	2	80	73	1.31578947368421	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24456	2	80	73	1.31578947368421	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25146	3	80	73	1.97368421052632	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24022	3	80	73	1.97368421052632	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24872	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24999	3	80	73	1.97368421052632	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25031	3	80	73	1.97368421052632	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25278	5	80	73	3.28947368421053	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25416	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25432	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24405	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24534	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24625	3	80	73	1.97368421052632	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25869	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_26419	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_26740	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_26842	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_27080	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_27129	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_27156	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24833	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25010	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24958	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24922	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25415	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24832	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_23892	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_23910	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_23733	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_23744	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24316	1	80	73	0.657894736842105	V_26.5
Yes	III	45.5	29	45.5	factor_length	STR_16029	2	5	5	6.89655172413793	III_45.5
Yes	III	45.5	29	45.5	factor_length	STR_14821	1	5	5	3.44827586206897	III_45.5
Yes	III	45.5	29	45.5	factor_length	STR_14924	1	5	5	3.44827586206897	III_45.5
Yes	III	45.5	29	45.5	factor_length	STR_15400	1	5	5	3.44827586206897	III_45.5
Yes	III	45.5	29	45.5	factor_length	STR_15394	2	5	5	6.89655172413793	III_45.5
Yes	V	39	13	39	factor_length	STR_24850	1	4	11	7.69230769230769	V_39
Yes	V	39	13	39	factor_length	STR_25367	1	4	11	7.69230769230769	V_39
Yes	V	39	13	39	factor_length	STR_25869	2	4	11	15.3846153846154	V_39
Yes	V	39	13	39	factor_length	STR_26740	1	4	11	7.69230769230769	V_39
Yes	V	39	13	39	factor_length	STR_26249	1	4	11	7.69230769230769	V_39
Yes	V	39	13	39	factor_length	STR_26361	1	4	11	7.69230769230769	V_39
Yes	V	39	13	39	factor_length	STR_25866	1	4	11	7.69230769230769	V_39
Yes	V	39	13	39	factor_length	STR_27108	1	4	11	7.69230769230769	V_39
Yes	V	39	13	39	factor_length	STR_27146	1	4	11	7.69230769230769	V_39
Yes	V	39	13	39	factor_length	STR_27153	1	4	11	7.69230769230769	V_39
Yes	V	39	13	39	factor_length	STR_27183	1	4	11	7.69230769230769	V_39
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_27108	19	28	34	12.5827814569536	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_27129	2	28	34	1.32450331125828	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_27146	2	28	34	1.32450331125828	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_27159	2	28	34	1.32450331125828	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_27183	2	28	34	1.32450331125828	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_27166	5	28	34	3.3112582781457	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_26943	3	28	34	1.98675496688742	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_27144	2	28	34	1.32450331125828	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24482	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24524	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24546	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24584	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24625	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24841	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24850	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24894	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24899	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24910	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24912	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24991	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_24994	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_25088	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_25146	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_25367	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_25472	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_25866	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_26039	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_26419	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_26740	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_26842	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_27080	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_27152	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_27156	1	28	34	0.662251655629139	V_45
Yes	V	44.5, 45, 45.5	151	45	factor_length	STR_25877	1	28	34	0.662251655629139	V_45
Yes	IV	39.5	13	39.5	factor_length	STR_20542	4	6	65	30.7692307692308	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20618	2	6	65	15.3846153846154	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20924	2	6	65	15.3846153846154	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20560	2	6	65	15.3846153846154	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20617	2	6	65	15.3846153846154	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20698	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20720	2	6	65	15.3846153846154	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_21039	2	6	65	15.3846153846154	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18214	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18607	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18622	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18651	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18686	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18688	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18707	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18717	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18736	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18737	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18739	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18782	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18825	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_18956	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_19021	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_19067	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20068	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20074	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20075	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20085	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20086	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20088	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20090	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20116	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20357	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20397	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20402	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20413	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20442	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20504	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20555	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20574	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20577	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20584	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20595	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20637	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20665	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20683	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20688	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20714	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20736	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20755	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20761	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20767	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20779	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20782	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20813	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20862	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20863	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20864	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_20918	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_21150	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_21181	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_21445	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_21533	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_21579	1	6	65	7.69230769230769	IV_39.5
Yes	IV	39.5	13	39.5	factor_length	STR_21618	1	6	65	7.69230769230769	IV_39.5
Yes	I	7.5	36	7.5	factor_length	STR_939	2	3	4	5.55555555555556	I_7.5
Yes	I	7.5	36	7.5	factor_length	STR_1620	1	3	4	2.77777777777778	I_7.5
Yes	I	7.5	36	7.5	factor_length	STR_226	1	3	4	2.77777777777778	I_7.5
Yes	I	7.5	36	7.5	factor_length	STR_499	1	3	4	2.77777777777778	I_7.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19200	19	78	177	17.2727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19295	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19328	37	78	177	33.6363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19343	19	78	177	17.2727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19488	11	78	177	10	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19499	10	78	177	9.09090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19603	16	78	177	14.5454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19651	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19743	23	78	177	20.9090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19758	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19851	12	78	177	10.9090909090909	IV_31.5
