strain	Line	N_generation	N_pSTR	mutation	N_mutation	mutation_rate	gfeature
N2	504	212	6066	deletions	35	1.3608171746014e-05	intergenic
N2	504	212	7855	deletions	59	1.77149514189976e-05	intron
N2	504	212	1140	deletions	3	6.20655412115194e-06	promoter
N2	504	212	285	deletions	2	1.65508109897385e-05	pseudogene
N2	504	212	480	deletions	1	4.91352201257862e-06	RNAs & TEs
N2	504	212	1296	insertions	1	1.81982296762171e-06	3'UTR
N2	504	212	6066	insertions	18	6.99848832652147e-06	intergenic
N2	504	212	7855	insertions	25	7.5063353470329e-06	intron
N2	504	212	285	insertions	1	8.27540549486925e-06	pseudogene
N2	504	212	480	insertions	1	4.91352201257862e-06	RNAs & TEs
N2	504	212	1296	substitutions	54	9.82704402515723e-05	3'UTR
N2	504	212	373	substitutions	4	2.52921240325763e-05	5'UTR
N2	504	212	1131	substitutions	5	1.04265719099811e-05	enhancer
N2	504	212	6066	substitutions	240	9.3313177686953e-05	intergenic
N2	504	212	7855	substitutions	386	0.000115897817758188	intron
N2	504	212	1140	substitutions	11	2.27573651108904e-05	promoter
N2	504	212	285	substitutions	8	6.6203243958954e-05	pseudogene
N2	504	212	480	substitutions	16	7.86163522012579e-05	RNAs & TEs
N2	505	235	1194	deletions	3	5.34587832780926e-06	3'UTR
N2	505	235	349	deletions	1	6.09644577211486e-06	5'UTR
N2	505	235	1418	deletions	1	1.5004651441947e-06	CDS
N2	505	235	1066	deletions	6	1.19755698375314e-05	enhancer
N2	505	235	5522	deletions	41	1.57975448303498e-05	intergenic
N2	505	235	7021	deletions	59	1.78794922224209e-05	intron
N2	505	235	1087	deletions	2	3.91473702754017e-06	promoter
N2	505	235	434	deletions	5	2.45122070791254e-05	RNAs & TEs
N2	505	235	1194	insertions	3	5.34587832780926e-06	3'UTR
N2	505	235	1066	insertions	2	3.99185661251048e-06	enhancer
N2	505	235	5522	insertions	34	1.31004030300462e-05	intergenic
N2	505	235	7021	insertions	66	2.00007879098267e-05	intron
N2	505	235	1087	insertions	3	5.87210554131026e-06	promoter
N2	505	235	258	insertions	2	1.6493485073396e-05	pseudogene
N2	505	235	434	insertions	1	4.90244141582508e-06	RNAs & TEs
N2	505	235	1194	substitutions	40	7.12783777041234e-05	3'UTR
N2	505	235	349	substitutions	3	1.82893373163446e-05	5'UTR
N2	505	235	1066	substitutions	7	1.39714981437867e-05	enhancer
N2	505	235	5522	substitutions	172	6.62726270931747e-05	intergenic
N2	505	235	7021	substitutions	266	8.0609236121423e-05	intron
N2	505	235	1087	substitutions	8	1.56589481101607e-05	promoter
N2	505	235	258	substitutions	5	4.123371268349e-05	pseudogene
N2	505	235	434	substitutions	11	5.39268555740759e-05	RNAs & TEs
N2	508	214	1287	deletions	8	1.45233790093603e-05	3'UTR
N2	508	214	371	deletions	1	6.29770511625564e-06	5'UTR
N2	508	214	1113	deletions	5	1.04961751937594e-05	enhancer
N2	508	214	5969	deletions	40	1.56572196222539e-05	intergenic
N2	508	214	7625	deletions	72	2.20622031561207e-05	intron
N2	508	214	1125	deletions	4	8.3073727933541e-06	promoter
N2	508	214	282	deletions	2	1.65705574335521e-05	pseudogene
N2	508	214	469	deletions	2	9.96353346750892e-06	RNAs & TEs
N2	508	214	1287	insertions	2	3.63084475234008e-06	3'UTR
N2	508	214	5969	insertions	19	7.43717932057061e-06	intergenic
N2	508	214	7625	insertions	24	7.35406771870691e-06	intron
N2	508	214	282	insertions	1	8.28527871677603e-06	pseudogene
N2	508	214	469	insertions	2	9.96353346750892e-06	RNAs & TEs
N2	508	214	1287	substitutions	52	9.44019635608421e-05	3'UTR
N2	508	214	371	substitutions	4	2.51908204650225e-05	5'UTR
N2	508	214	1113	substitutions	7	1.46946452712632e-05	enhancer
N2	508	214	5969	substitutions	214	8.37661249790585e-05	intergenic
N2	508	214	7625	substitutions	321	9.83606557377049e-05	intron
N2	508	214	1125	substitutions	10	2.07684319833853e-05	promoter
N2	508	214	282	substitutions	8	6.62822297342083e-05	pseudogene
N2	508	214	469	substitutions	14	6.97447342725624e-05	RNAs & TEs
N2	509	243	1153	deletions	1	1.78457343341221e-06	3'UTR
N2	509	243	1095	deletions	3	5.63729635266926e-06	enhancer
N2	509	243	5371	deletions	26	9.96051803888127e-06	intergenic
N2	509	243	6675	deletions	34	1.0480726252678e-05	intron
N2	509	243	1113	deletions	2	3.6974180929457e-06	promoter
N2	509	243	442	deletions	2	9.3104668268067e-06	RNAs & TEs
N2	509	243	1153	insertions	4	7.13829373364885e-06	3'UTR
N2	509	243	1095	insertions	2	3.75819756844617e-06	enhancer
N2	509	243	5371	insertions	30	1.14929054294784e-05	intergenic
N2	509	243	6675	insertions	32	9.86421294369692e-06	intron
N2	509	243	1113	insertions	2	3.6974180929457e-06	promoter
N2	509	243	254	insertions	1	8.10083924694598e-06	pseudogene
N2	509	243	442	insertions	2	9.3104668268067e-06	RNAs & TEs
N2	509	243	1153	substitutions	34	6.06754967360152e-05	3'UTR
N2	509	243	356	substitutions	3	1.73394368150922e-05	5'UTR
N2	509	243	1478	substitutions	3	4.17648139795185e-06	CDS
N2	509	243	1095	substitutions	3	5.63729635266926e-06	enhancer
N2	509	243	5371	substitutions	154	5.8996914537989e-05	intergenic
N2	509	243	6675	substitutions	238	7.33650837687459e-05	intron
N2	509	243	1113	substitutions	9	1.66383814182556e-05	promoter
N2	509	243	254	substitutions	7	5.67058747286219e-05	pseudogene
N2	509	243	442	substitutions	6	2.79314004804201e-05	RNAs & TEs
N2	511	229	1068	deletions	3	6.1331632402728e-06	3'UTR
N2	511	229	341	deletions	2	1.2805900959162e-05	5'UTR
N2	511	229	1453	deletions	3	4.50806492815647e-06	CDS
N2	511	229	1081	deletions	2	4.0396042803647e-06	enhancer
N2	511	229	4892	deletions	16	7.14114836806907e-06	intergenic
N2	511	229	5868	deletions	22	8.18591249110712e-06	intron
N2	511	229	1094	deletions	5	9.97900417521535e-06	promoter
N2	511	229	402	deletions	1	5.43135849138587e-06	RNAs & TEs
N2	511	229	1068	insertions	5	1.0221938733788e-05	3'UTR
N2	511	229	341	insertions	1	6.40295047958099e-06	5'UTR
N2	511	229	1081	insertions	1	2.01980214018235e-06	enhancer
N2	511	229	4892	insertions	24	1.07117225521036e-05	intergenic
N2	511	229	5868	insertions	32	1.19067818052467e-05	intron
N2	511	229	1094	insertions	4	7.98320334017228e-06	promoter
N2	511	229	402	insertions	2	1.08627169827717e-05	RNAs & TEs
N2	511	229	1068	substitutions	30	6.1331632402728e-05	3'UTR
N2	511	229	341	substitutions	2	1.2805900959162e-05	5'UTR
N2	511	229	1453	substitutions	1	1.50268830938549e-06	CDS
N2	511	229	1081	substitutions	5	1.00990107009117e-05	enhancer
N2	511	229	4892	substitutions	143	6.38240135396173e-05	intergenic
N2	511	229	5868	substitutions	191	7.10686039000664e-05	intron
N2	511	229	1094	substitutions	9	1.79622075153876e-05	promoter
N2	511	229	230	substitutions	2	1.89861401177141e-05	pseudogene
N2	511	229	402	substitutions	5	2.71567924569293e-05	RNAs & TEs
N2	512	230	1187	deletions	17	3.113439068166e-05	3'UTR
N2	512	230	340	deletions	6	3.83631713554987e-05	5'UTR
N2	512	230	1400	deletions	4	6.2111801242236e-06	CDS
N2	512	230	1048	deletions	14	2.90408230999004e-05	enhancer
N2	512	230	5378	deletions	81	3.27420893495238e-05	intergenic
N2	512	230	6745	deletions	144	4.641119025365e-05	intron
N2	512	230	1059	deletions	15	3.07919694543663e-05	promoter
N2	512	230	244	deletions	5	4.45473984319316e-05	pseudogene
N2	512	230	408	deletions	5	2.66410912190963e-05	RNAs & TEs
N2	512	230	1187	insertions	17	3.113439068166e-05	3'UTR
N2	512	230	340	insertions	3	1.91815856777494e-05	5'UTR
N2	512	230	1048	insertions	9	1.86691005642217e-05	enhancer
N2	512	230	5378	insertions	114	4.6081459084515e-05	intergenic
N2	512	230	6745	insertions	169	5.44686885615754e-05	intron
N2	512	230	1059	insertions	5	1.02639898181221e-05	promoter
N2	512	230	244	insertions	5	4.45473984319316e-05	pseudogene
N2	512	230	408	insertions	4	2.13128729752771e-05	RNAs & TEs
N2	512	230	1187	substitutions	35	6.41002161093e-05	3'UTR
N2	512	230	340	substitutions	2	1.27877237851662e-05	5'UTR
N2	512	230	1400	substitutions	4	6.2111801242236e-06	CDS
N2	512	230	1048	substitutions	3	6.22303352140724e-06	enhancer
N2	512	230	5378	substitutions	143	5.78039355182952e-05	intergenic
N2	512	230	6745	substitutions	215	6.92944854481581e-05	intron
N2	512	230	1059	substitutions	9	1.84751816726198e-05	promoter
N2	512	230	244	substitutions	3	2.67284390591589e-05	pseudogene
N2	512	230	408	substitutions	11	5.86104006820119e-05	RNAs & TEs
N2	513	242	1206	deletions	7	1.19923796992996e-05	3'UTR
N2	513	242	1071	deletions	5	9.64573157086526e-06	enhancer
N2	513	242	5558	deletions	49	1.82151258404979e-05	intergenic
N2	513	242	7034	deletions	74	2.17362186499106e-05	intron
N2	513	242	1090	deletions	1	1.89551899310031e-06	promoter
N2	513	242	257	deletions	2	1.60787214200727e-05	pseudogene
N2	513	242	431	deletions	4	1.91750877260263e-05	RNAs & TEs
N2	513	242	1206	insertions	2	3.4263941997999e-06	3'UTR
N2	513	242	356	insertions	1	5.80369579348129e-06	5'UTR
N2	513	242	1071	insertions	1	1.92914631417305e-06	enhancer
N2	513	242	5558	insertions	56	2.08172866748548e-05	intergenic
N2	513	242	7034	insertions	87	2.55547435478679e-05	intron
N2	513	242	1090	insertions	6	1.13731139586019e-05	promoter
N2	513	242	257	insertions	3	2.4118082130109e-05	pseudogene
N2	513	242	431	insertions	5	2.39688596575329e-05	RNAs & TEs
N2	513	242	1206	substitutions	32	5.48223071967984e-05	3'UTR
N2	513	242	356	substitutions	3	1.74110873804439e-05	5'UTR
N2	513	242	1071	substitutions	5	9.64573157086526e-06	enhancer
N2	513	242	5558	substitutions	180	6.69127071691761e-05	intergenic
N2	513	242	7034	substitutions	267	7.84266267503531e-05	intron
N2	513	242	1090	substitutions	8	1.51641519448025e-05	promoter
N2	513	242	257	substitutions	4	3.21574428401453e-05	pseudogene
N2	513	242	431	substitutions	10	4.79377193150659e-05	RNAs & TEs
N2	514	241	1191	deletions	2	3.48394424295634e-06	3'UTR
N2	514	241	1098	deletions	3	5.6685486248101e-06	enhancer
N2	514	241	5602	deletions	27	9.99939262948473e-06	intergenic
N2	514	241	7033	deletions	27	7.96482262340018e-06	intron
N2	514	241	1120	deletions	2	3.70480142264375e-06	promoter
N2	514	241	264	deletions	1	7.85866968439582e-06	pseudogene
N2	514	241	1191	insertions	4	6.96788848591267e-06	3'UTR
N2	514	241	1098	insertions	4	7.55806483308014e-06	enhancer
N2	514	241	5602	insertions	23	8.51800112882032e-06	intergenic
N2	514	241	7033	insertions	25	7.37483576240757e-06	intron
N2	514	241	1120	insertions	3	5.55720213396562e-06	promoter
N2	514	241	264	insertions	3	2.35760090531875e-05	pseudogene
N2	514	241	452	insertions	1	4.59001946168252e-06	RNAs & TEs
N2	514	241	1191	substitutions	31	5.40011357658232e-05	3'UTR
N2	514	241	368	substitutions	4	2.25509651813098e-05	5'UTR
N2	514	241	1098	substitutions	6	1.13370972496202e-05	enhancer
N2	514	241	5602	substitutions	134	4.96266152722575e-05	intergenic
N2	514	241	7033	substitutions	242	7.13884101801053e-05	intron
N2	514	241	1120	substitutions	9	1.66716064018969e-05	promoter
N2	514	241	264	substitutions	5	3.92933484219791e-05	pseudogene
N2	514	241	452	substitutions	8	3.67201556934601e-05	RNAs & TEs
N2	516	218	1210	deletions	2	3.79103798620062e-06	3'UTR
N2	516	218	1114	deletions	3	6.1766013868529e-06	enhancer
N2	516	218	5663	deletions	19	7.69521131050259e-06	intergenic
N2	516	218	7227	deletions	25	7.93405971236812e-06	intron
N2	516	218	1118	deletions	6	1.23090052682543e-05	promoter
N2	516	218	267	deletions	1	8.59017970655946e-06	pseudogene
N2	516	218	462	deletions	1	4.96445450573891e-06	RNAs & TEs
N2	516	218	1210	insertions	2	3.79103798620062e-06	3'UTR
N2	516	218	5663	insertions	17	6.88518906729179e-06	intergenic
N2	516	218	7227	insertions	29	9.20350926634702e-06	intron
N2	516	218	1118	insertions	1	2.05150087804238e-06	promoter
N2	516	218	267	insertions	1	8.59017970655946e-06	pseudogene
N2	516	218	462	insertions	1	4.96445450573891e-06	RNAs & TEs
N2	516	218	1210	substitutions	26	4.92834938206081e-05	3'UTR
N2	516	218	360	substitutions	2	1.27420998980632e-05	5'UTR
N2	516	218	1114	substitutions	4	8.23546851580386e-06	enhancer
N2	516	218	5663	substitutions	121	4.90063457142533e-05	intergenic
N2	516	218	7227	substitutions	186	5.90294042600188e-05	intron
N2	516	218	1118	substitutions	6	1.23090052682543e-05	promoter
N2	516	218	267	substitutions	4	3.43607188262378e-05	pseudogene
N2	516	218	462	substitutions	4	1.98578180229556e-05	RNAs & TEs
N2	520	244	1190	deletions	5	8.61000137760022e-06	3'UTR
N2	520	244	1439	deletions	1	1.42403080463437e-06	CDS
N2	520	244	1082	deletions	9	1.70449380321808e-05	enhancer
N2	520	244	5538	deletions	42	1.55409125623857e-05	intergenic
N2	520	244	7064	deletions	74	2.1466498338377e-05	intron
N2	520	244	1077	deletions	8	1.52213951930834e-05	promoter
N2	520	244	432	deletions	4	1.89738919247116e-05	RNAs & TEs
N2	520	244	1190	insertions	8	1.37760022041604e-05	3'UTR
N2	520	244	1082	insertions	1	1.89388200357565e-06	enhancer
N2	520	244	5538	insertions	23	8.51049973654453e-06	intergenic
N2	520	244	7064	insertions	65	1.88557079999257e-05	intron
N2	520	244	1077	insertions	2	3.80534879827085e-06	promoter
N2	520	244	248	insertions	1	8.26282390269699e-06	pseudogene
N2	520	244	432	insertions	3	1.42304189435337e-05	RNAs & TEs
N2	520	244	1190	substitutions	34	5.85480093676815e-05	3'UTR
N2	520	244	360	substitutions	2	1.1384335154827e-05	5'UTR
N2	520	244	1439	substitutions	1	1.42403080463437e-06	CDS
N2	520	244	1082	substitutions	6	1.13632920214539e-05	enhancer
N2	520	244	5538	substitutions	187	6.91940630753838e-05	intergenic
N2	520	244	7064	substitutions	275	7.9774149230455e-05	intron
N2	520	244	1077	substitutions	8	1.52213951930834e-05	promoter
N2	520	244	248	substitutions	8	6.61025912215759e-05	pseudogene
N2	520	244	432	substitutions	12	5.69216757741348e-05	RNAs & TEs
N2	522	234	1256	deletions	11	1.87135935543579e-05	3'UTR
N2	522	234	1107	deletions	11	2.12324060562543e-05	enhancer
N2	522	234	5723	deletions	51	1.90414745717908e-05	intergenic
N2	522	234	7179	deletions	64	1.90489116523383e-05	intron
N2	522	234	1109	deletions	7	1.34871640732777e-05	promoter
N2	522	234	272	deletions	2	1.57114127702363e-05	pseudogene
N2	522	234	441	deletions	5	2.42262147024052e-05	RNAs & TEs
N2	522	234	1256	insertions	3	5.1037073330067e-06	3'UTR
N2	522	234	365	insertions	1	5.85411544315654e-06	5'UTR
N2	522	234	5723	insertions	26	9.70741840914827e-06	intergenic
N2	522	234	7179	insertions	28	8.33389884789801e-06	intron
N2	522	234	1109	insertions	1	1.92673772475396e-06	promoter
N2	522	234	272	insertions	2	1.57114127702363e-05	pseudogene
N2	522	234	441	insertions	1	4.84524294048104e-06	RNAs & TEs
N2	522	234	1256	substitutions	39	6.6348195329087e-05	3'UTR
N2	522	234	365	substitutions	3	1.75623463294696e-05	5'UTR
N2	522	234	1473	substitutions	1	1.45061244857579e-06	CDS
N2	522	234	1107	substitutions	7	1.35115311267073e-05	enhancer
N2	522	234	5723	substitutions	182	6.79519288640379e-05	intergenic
N2	522	234	7179	substitutions	244	7.26239756745398e-05	intron
N2	522	234	1109	substitutions	9	1.73406395227856e-05	promoter
N2	522	234	272	substitutions	6	4.71342383107089e-05	pseudogene
N2	522	234	441	substitutions	8	3.87619435238483e-05	RNAs & TEs
N2	523	243	1116	deletions	23	4.24060061654645e-05	3'UTR
N2	523	243	338	deletions	4	2.43504517008791e-05	5'UTR
N2	523	243	1423	deletions	1	1.44596849523843e-06	CDS
N2	523	243	1065	deletions	3	5.79609343302614e-06	enhancer
N2	523	243	4919	deletions	93	3.89018143304245e-05	intergenic
N2	523	243	6056	deletions	156	5.30032454294894e-05	intron
N2	523	243	1068	deletions	3	5.77981227169742e-06	promoter
N2	523	243	225	deletions	2	1.82898948331047e-05	pseudogene
N2	523	243	388	deletions	4	2.12125068940647e-05	RNAs & TEs
N2	523	243	1116	insertions	20	3.68747879699692e-05	3'UTR
N2	523	243	338	insertions	3	1.82628387756593e-05	5'UTR
N2	523	243	1065	insertions	2	3.86406228868409e-06	enhancer
N2	523	243	4919	insertions	109	4.55945995915728e-05	intergenic
N2	523	243	6056	insertions	181	6.14973552739588e-05	intron
N2	523	243	1068	insertions	1	1.92660409056581e-06	promoter
N2	523	243	225	insertions	3	2.74348422496571e-05	pseudogene
N2	523	243	388	insertions	3	1.59093801705486e-05	RNAs & TEs
N2	523	243	1116	substitutions	31	5.71559213534522e-05	3'UTR
N2	523	243	338	substitutions	3	1.82628387756593e-05	5'UTR
N2	523	243	1065	substitutions	6	1.15921868660523e-05	enhancer
N2	523	243	4919	substitutions	119	4.97775903797905e-05	intergenic
N2	523	243	6056	substitutions	142	4.82465439165865e-05	intron
N2	523	243	1068	substitutions	8	1.54128327245264e-05	promoter
N2	523	243	225	substitutions	10	9.14494741655235e-05	pseudogene
N2	523	243	388	substitutions	9	4.77281405116457e-05	RNAs & TEs
N2	524	234	1206	deletions	10	1.77176794092217e-05	3'UTR
N2	524	234	354	deletions	1	6.03602298517553e-06	5'UTR
N2	524	234	1426	deletions	3	4.49527097493437e-06	CDS
N2	524	234	1054	deletions	11	2.23000697383999e-05	enhancer
N2	524	234	5492	deletions	73	2.84018401279873e-05	intergenic
N2	524	234	6922	deletions	92	2.83994794251945e-05	intron
N2	524	234	1072	deletions	7	1.39526725347621e-05	promoter
N2	524	234	420	deletions	7	3.56125356125356e-05	RNAs & TEs
N2	524	234	1206	insertions	5	8.85883970461085e-06	3'UTR
N2	524	234	354	insertions	1	6.03602298517553e-06	5'UTR
N2	524	234	1054	insertions	2	4.05455813425453e-06	enhancer
N2	524	234	5492	insertions	76	2.95690390373566e-05	intergenic
N2	524	234	6922	insertions	123	3.79688692315101e-05	intron
N2	524	234	1072	insertions	4	7.97295573414976e-06	promoter
N2	524	234	245	insertions	7	6.10500610500611e-05	pseudogene
N2	524	234	420	insertions	3	1.52625152625153e-05	RNAs & TEs
N2	524	234	1206	substitutions	35	6.20118779322759e-05	3'UTR
N2	524	234	354	substitutions	3	1.81080689555266e-05	5'UTR
N2	524	234	1054	substitutions	6	1.21636744027636e-05	enhancer
N2	524	234	5492	substitutions	174	6.76975367434217e-05	intergenic
N2	524	234	6922	substitutions	257	7.93333283942934e-05	intron
N2	524	234	1072	substitutions	11	2.19256282689119e-05	promoter
N2	524	234	245	substitutions	4	3.48857491714635e-05	pseudogene
N2	524	234	420	substitutions	11	5.5962555962556e-05	RNAs & TEs
N2	525	224	1193	deletions	3	5.61310022751766e-06	3'UTR
N2	525	224	1117	deletions	3	5.99501214989129e-06	enhancer
N2	525	224	5662	deletions	29	1.14327345208659e-05	intergenic
N2	525	224	7201	deletions	32	9.91925724601742e-06	intron
N2	525	224	1120	deletions	2	3.9859693877551e-06	promoter
N2	525	224	262	deletions	1	8.5196292257361e-06	pseudogene
N2	525	224	460	deletions	3	1.45574534161491e-05	RNAs & TEs
N2	525	224	364	insertions	1	6.13226059654631e-06	5'UTR
N2	525	224	5662	insertions	19	7.49041227229147e-06	intergenic
N2	525	224	7201	insertions	26	8.05939651238915e-06	intron
N2	525	224	1120	insertions	1	1.99298469387755e-06	promoter
N2	525	224	262	insertions	3	2.55588876772083e-05	pseudogene
N2	525	224	460	insertions	1	4.85248447204969e-06	RNAs & TEs
N2	525	224	1193	substitutions	23	4.30337684109687e-05	3'UTR
N2	525	224	364	substitutions	3	1.83967817896389e-05	5'UTR
N2	525	224	1117	substitutions	3	5.99501214989129e-06	enhancer
N2	525	224	5662	substitutions	135	5.32213503557552e-05	intergenic
N2	525	224	7201	substitutions	222	6.88148471442458e-05	intron
N2	525	224	1120	substitutions	7	1.39508928571429e-05	promoter
N2	525	224	262	substitutions	5	4.25981461286805e-05	pseudogene
N2	525	224	460	substitutions	9	4.36723602484472e-05	RNAs & TEs
N2	526	236	1186	deletions	11	1.96501557721439e-05	3'UTR
N2	526	236	346	deletions	7	4.28627412560008e-05	5'UTR
N2	526	236	1431	deletions	1	1.48053393976004e-06	CDS
N2	526	236	1059	deletions	10	2.00060818488821e-05	enhancer
N2	526	236	5394	deletions	87	3.41716785128485e-05	intergenic
N2	526	236	6824	deletions	109	3.38411786913585e-05	intron
N2	526	236	1068	deletions	9	1.78537421443535e-05	promoter
N2	526	236	250	deletions	3	2.54237288135593e-05	pseudogene
N2	526	236	425	deletions	8	3.98803589232303e-05	RNAs & TEs
N2	526	236	1186	insertions	11	1.96501557721439e-05	3'UTR
N2	526	236	346	insertions	2	1.22464975017145e-05	5'UTR
N2	526	236	1059	insertions	3	6.00182455466462e-06	enhancer
N2	526	236	5394	insertions	86	3.37789005989078e-05	intergenic
N2	526	236	6824	insertions	162	5.029606374312e-05	intron
N2	526	236	1068	insertions	2	3.96749825430077e-06	promoter
N2	526	236	250	insertions	3	2.54237288135593e-05	pseudogene
N2	526	236	425	insertions	6	2.99102691924227e-05	RNAs & TEs
N2	526	236	1186	substitutions	38	6.788235630377e-05	3'UTR
N2	526	236	1431	substitutions	1	1.48053393976004e-06	CDS
N2	526	236	1059	substitutions	6	1.20036491093292e-05	enhancer
N2	526	236	5394	substitutions	141	5.53816858656511e-05	intergenic
N2	526	236	6824	substitutions	227	7.04765831462237e-05	intron
N2	526	236	1068	substitutions	11	2.18212403986542e-05	promoter
N2	526	236	250	substitutions	8	6.77966101694915e-05	pseudogene
N2	526	236	425	substitutions	11	5.48354935194417e-05	RNAs & TEs
N2	529	243	1191	deletions	2	3.4552698047427e-06	3'UTR
N2	529	243	1113	deletions	2	3.6974180929457e-06	enhancer
N2	529	243	5670	deletions	27	9.79815794630609e-06	intergenic
N2	529	243	7241	deletions	44	1.25031044640061e-05	intron
N2	529	243	1113	deletions	2	3.6974180929457e-06	promoter
N2	529	243	270	deletions	1	7.62078951379363e-06	pseudogene
N2	529	243	450	deletions	2	9.14494741655235e-06	RNAs & TEs
N2	529	243	1191	insertions	5	8.63817451185676e-06	3'UTR
N2	529	243	1113	insertions	3	5.54612713941854e-06	enhancer
N2	529	243	5670	insertions	26	9.43526320755402e-06	intergenic
N2	529	243	7241	insertions	43	1.22189429989151e-05	intron
N2	529	243	450	insertions	3	1.37174211248285e-05	RNAs & TEs
N2	529	243	1191	substitutions	20	3.4552698047427e-05	3'UTR
N2	529	243	358	substitutions	4	2.29900912706623e-05	5'UTR
N2	529	243	1475	substitutions	1	1.39499197879612e-06	CDS
N2	529	243	1113	substitutions	3	5.54612713941854e-06	enhancer
N2	529	243	5670	substitutions	135	4.89907897315305e-05	intergenic
N2	529	243	7241	substitutions	207	5.8821423273847e-05	intron
N2	529	243	1113	substitutions	4	7.39483618589139e-06	promoter
N2	529	243	270	substitutions	7	5.33455265965554e-05	pseudogene
N2	529	243	450	substitutions	7	3.20073159579332e-05	RNAs & TEs
N2	530	243	1191	deletions	1	1.72763490237135e-06	3'UTR
N2	530	243	1120	deletions	3	5.51146384479718e-06	enhancer
N2	530	243	5662	deletions	20	7.26814965992328e-06	intergenic
N2	530	243	7220	deletions	28	7.9796632582105e-06	intron
N2	530	243	1099	deletions	1	1.87225948018588e-06	promoter
N2	530	243	266	deletions	3	2.32061635570407e-05	pseudogene
N2	530	243	458	deletions	1	4.49260517188707e-06	RNAs & TEs
N2	530	243	1191	insertions	1	1.72763490237135e-06	3'UTR
N2	530	243	1120	insertions	5	9.18577307466196e-06	enhancer
N2	530	243	5662	insertions	16	5.81451972793862e-06	intergenic
N2	530	243	7220	insertions	17	4.84479554962781e-06	intron
N2	530	243	266	insertions	1	7.73538785234692e-06	pseudogene
N2	530	243	458	insertions	1	4.49260517188707e-06	RNAs & TEs
N2	530	243	1191	substitutions	17	2.9369793340313e-05	3'UTR
N2	530	243	369	substitutions	1	5.57618744911729e-06	5'UTR
N2	530	243	1120	substitutions	3	5.51146384479718e-06	enhancer
N2	530	243	5662	substitutions	81	2.94360061226893e-05	intergenic
N2	530	243	7220	substitutions	148	4.21782200791127e-05	intron
N2	530	243	1099	substitutions	4	7.48903792074351e-06	promoter
N2	530	243	266	substitutions	3	2.32061635570407e-05	pseudogene
N2	530	243	458	substitutions	5	2.24630258594354e-05	RNAs & TEs
N2	531	233	1438	deletions	1	1.4922967641037e-06	CDS
N2	531	233	1086	deletions	3	5.92796338889811e-06	enhancer
